index,mean_intensity,edge_density,texture_variance,glcm_contrast_d1,glcm_homogeneity_d1,glcm_energy_d1,glcm_correlation_d1,glcm_contrast_d2,glcm_homogeneity_d2,glcm_energy_d2,glcm_correlation_d2,glcm_contrast_d4,glcm_homogeneity_d4,glcm_energy_d4,glcm_correlation_d4,glcm_contrast_d8,glcm_homogeneity_d8,glcm_energy_d8,glcm_correlation_d8,phase_fraction,fft_energy_ratio,run_length_mean,E_x
9218,0.246262,0.025421,12069.7339,29.670221,0.992526,0.788087,0.979877,59.207831,0.985086,0.783278,0.959875,117.263672,0.970463,0.773926,0.920656,231.308279,0.941736,0.756044,0.843972,0.246262,0.946465,88.086,1344.1645
9219,0.250214,0.08728,12199.13,194.558824,0.950993,0.760485,0.869297,379.601547,0.904382,0.733887,0.744898,710.657227,0.820993,0.691656,0.522044,1174.358383,0.704192,0.646393,0.20853,0.250214,0.820306,18.963,1384.5667
9220,0.244049,0.01358,11996.4052,33.439798,0.991577,0.789148,0.977161,66.654589,0.98321,0.784018,0.954464,132.213867,0.966697,0.774056,0.909635,260.628166,0.934351,0.755156,0.821747,0.244049,0.972942,81.3102,1413.5093
9221,0.196793,0.074783,10278.1944,143.243934,0.963918,0.805386,0.885993,283.52616,0.928583,0.785299,0.774634,543.313477,0.863145,0.75097,0.569387,929.984312,0.765747,0.708,0.266231,0.196793,0.761821,25.0904,1357.254
9222,0.312988,0.017868,13982.1058,45.660524,0.988499,0.747351,0.973252,91.253306,0.977014,0.739869,0.946548,181.30957,0.95433,0.725381,0.89382,353.151477,0.911045,0.698889,0.793313,0.312988,0.970673,65.0804,1770.4215
9223,0.090057,0.031372,5328.6064,94.847426,0.976109,0.90164,0.854037,186.718304,0.952968,0.889712,0.712412,345.700195,0.912922,0.87012,0.466881,532.446651,0.865882,0.848546,0.18108,0.090057,0.802353,36.0881,1197.0114
9224,0.437714,0.022919,16003.9795,37.634972,0.99052,0.705985,0.980735,75.383166,0.981012,0.699446,0.961408,150.978516,0.96197,0.686557,0.922692,301.388436,0.924084,0.66177,0.845625,0.437714,0.973002,74.8983,1949.5217
9225,0.443832,0.034134,16051.1092,53.625276,0.986492,0.702134,0.972632,106.818252,0.973094,0.692922,0.945484,212.501953,0.946473,0.67503,0.891544,418.042827,0.8947,0.641966,0.786635,0.443832,0.959968,57.5888,1805.0082
9226,0.380157,0.018417,15322.3459,31.311811,0.992113,0.72181,0.983256,62.32082,0.984302,0.716592,0.966665,122.677734,0.969099,0.706605,0.934342,239.997968,0.939547,0.687791,0.871381,0.380157,0.975836,85.0013,1694.3257
9227,0.333145,0.109177,14445.9186,302.417371,0.923824,0.696583,0.828538,594.764026,0.850185,0.654352,0.662819,1119.357422,0.718046,0.594109,0.365591,1738.750583,0.562028,0.555871,0.015192,0.333145,0.839016,12.5308,1819.822
9228,0.186798,0.069641,9877.5945,280.225506,0.929414,0.794263,0.76739,531.58866,0.866099,0.761994,0.558507,889.136719,0.776036,0.72298,0.261792,1132.410314,0.714758,0.701535,0.061278,0.186798,0.768431,13.4709,1657.5393
9229,0.049606,0.009613,3065.6385,32.588603,0.991791,0.947214,0.913243,64.457185,0.983764,0.942957,0.828792,126.492187,0.968138,0.934952,0.664565,236.121992,0.940523,0.921513,0.372856,0.049606,0.900811,82.7475,1107.8081
9230,0.299942,0.102798,13653.7416,190.546048,0.952004,0.731014,0.885671,377.465182,0.904921,0.70289,0.773502,724.992188,0.817382,0.656427,0.564886,1246.626591,0.685988,0.604102,0.251492,0.299942,0.786279,19.3322,1483.8984
9231,0.065445,0.013763,3977.0529,19.759881,0.995023,0.934292,0.95924,39.309117,0.990098,0.931789,0.918795,77.458008,0.980489,0.926946,0.839557,144.911511,0.963498,0.918623,0.698144,0.065445,0.885023,112.7986,1076.7497
9232,0.485001,0.125656,16241.6206,284.055882,0.928449,0.658804,0.856728,562.10816,0.858411,0.615565,0.716475,1065.462891,0.731621,0.551488,0.462547,1758.630592,0.55702,0.503813,0.112772,0.485001,0.878724,13.2987,2128.8897
9233,0.026978,0.004318,1706.8901,10.822335,0.997274,0.971896,0.948259,21.607806,0.994557,0.970404,0.897089,42.820312,0.989214,0.96748,0.797621,84.521295,0.97871,0.961776,0.606694,0.026978,0.922349,151.0046,1036.494
9234,0.173416,0.05191,9320.8773,131.570404,0.966859,0.825176,0.88451,259.293676,0.934687,0.807201,0.772659,492.802734,0.875868,0.776686,0.568896,779.883994,0.803556,0.743389,0.321238,0.173416,0.852161,27.081,1327.9103
9235,0.22673,0.014328,11400.4234,23.286259,0.994134,0.802045,0.98328,46.694836,0.988238,0.798266,0.966496,93.638672,0.976413,0.790758,0.932912,187.922348,0.952664,0.77596,0.865788,0.22673,0.967243,102.5603,1318.268
9236,0.287186,0.015854,13311.2717,29.852619,0.99248,0.763287,0.981652,59.818221,0.984932,0.758092,0.963281,119.847656,0.969812,0.747811,0.926619,239.497842,0.939673,0.727784,0.854115,0.287186,0.971721,87.7323,1487.5859
9237,0.099976,0.022827,5850.9799,71.621967,0.981959,0.895482,0.899966,140.51178,0.964607,0.886044,0.804166,263.258789,0.933688,0.869957,0.634041,444.549505,0.888023,0.847812,0.383753,0.099976,0.872464,45.7015,1268.5625
9238,0.158936,0.032074,8692.2194,54.294072,0.986324,0.84835,0.948729,107.977993,0.972802,0.840999,0.897822,214.224609,0.946039,0.82696,0.796382,414.917039,0.895487,0.802393,0.601838,0.158936,0.896084,57.0374,1221.5045
9239,0.345627,0.014725,14706.6343,53.625276,0.986492,0.731491,0.970081,107.001369,0.973048,0.723144,0.940201,210.84082,0.946891,0.707432,0.881752,400.163322,0.899203,0.68084,0.77384,0.345627,0.978307,57.5888,3411.1163
9240,0.468887,0.025986,16193.3059,90.591452,0.977181,0.692603,0.954167,180.431287,0.954551,0.67726,0.908701,357.082031,0.910055,0.648349,0.819258,694.737541,0.825003,0.598447,0.648131,0.468887,0.971353,37.5349,2965.4029
9241,0.448608,0.158279,16084.5127,458.550827,0.884496,0.634939,0.766443,875.055118,0.779583,0.577515,0.554252,1500.802734,0.621964,0.519941,0.235346,2016.57058,0.492048,0.505726,-0.027866,0.448608,0.804518,8.4042,2116.969
9242,0.077133,0.021317,4628.7169,75.513143,0.980979,0.915758,0.866695,147.714382,0.962792,0.906124,0.739938,275.009766,0.930728,0.889733,0.518442,432.171387,0.891141,0.87012,0.253492,0.077133,0.847672,43.749,1205.8362
9243,0.231384,0.033371,11564.4097,110.898529,0.972066,0.784968,0.92166,220.350794,0.944496,0.768064,0.844767,418.482422,0.894589,0.738965,0.7068,710.991636,0.820909,0.69965,0.507114,0.231384,0.921489,31.5077,1620.3782
9244,0.285538,0.018433,13265.4856,38.06057,0.990413,0.763684,0.976455,75.505244,0.980981,0.758138,0.953209,149.317383,0.962389,0.747448,0.907135,289.197864,0.927154,0.728052,0.81892,0.285538,0.967714,74.3039,1489.8627
9245,0.464157,0.052032,16172.7115,101.900184,0.974332,0.691023,0.948391,202.954678,0.948878,0.673768,0.897219,402.916992,0.89851,0.641249,0.795985,780.759214,0.803335,0.586749,0.604759,0.464157,0.943024,33.9213,2143.3474
9246,0.419952,0.079651,15839.5945,316.158088,0.920363,0.663004,0.836472,617.531573,0.84445,0.617726,0.680538,1138.491211,0.713226,0.55542,0.410925,1698.115345,0.572263,0.518009,0.12124,0.419952,0.884245,12.0117,2950.8208
9247,0.451508,0.018082,16103.3427,47.606112,0.988009,0.702158,0.975775,95.464998,0.975953,0.69396,0.951403,191.707031,0.951711,0.677835,0.902337,384.096774,0.90325,0.647133,0.804025,0.451508,0.980508,63.076,2550.1942
9248,0.132401,0.025803,7469.4619,93.935432,0.976339,0.8644,0.896967,184.765056,0.95346,0.852032,0.797298,353.575195,0.910938,0.830332,0.611666,600.838883,0.848655,0.801891,0.337505,0.132401,0.892277,36.3887,1384.8154
